Character,唐Left_Entropy,唐Right_Entropy,宋Left_Entropy,宋Right_Entropy,元Left_Entropy,元Right_Entropy,明Left_Entropy,明Right_Entropy,清Left_Entropy,清Right_Entropy,CaiLeft_Entropy,CaiRight_Entropy
驯,6.325210263948738,5.698404982699275,7.396716578828983,7.505958617060162,6.362968253572692,6.260542994708802,7.7169925884836195,7.51853641199965,6.6753903836358255,7.338862126543827,6.030477867664415,3.214358184800009
回,8.731030443184775,8.461028519292668,8.607403539943988,8.568402582246097,8.796309724600976,7.778375930526478,9.05217212249259,8.425009696530495,9.211958034010436,7.720459462760156,7.109611466682342,4.665186770631232
关,8.062078052788266,7.899209996696229,8.242639282406305,8.826953452840996,7.9764937743732,8.020778435736593,8.430365708088097,8.48878441930532,8.426304369128632,8.299088480982993,6.405483371388127,4.599077359377243
刚,5.912610140019227,5.935262541664742,6.42609699766941,6.597140884567424,7.23088718793094,6.828425352892225,8.298933075365051,7.823512867732933,8.45479401355755,8.133578979169584,5.136303041891591,5.523034397389472
鲟,1.0,1.0,3.3937409315627427,3.825251737288651,-0.0,-0.0,3.446439344671015,2.019240704636849,2.75,1.5487949406953985,2.865274538879992,1.264566543705914
铮,3.927747365373243,3.2671926374085647,4.542405091033008,4.322583659746695,3.255922906975002,3.1236644834416607,4.297130829959073,4.556282228742023,4.152535016546707,5.370048403224838,2.0,1.4056390622295665
漓,1.7371467686465136,4.907071770088825,2.66896435841295,7.792918353315072,1.1390315316987325,6.771812165021287,3.424649076136727,7.47514147969383,2.1312334322266704,7.367174016975381,0.110580844769887,3.187743924790152
违,6.301658731440563,7.754283869575701,6.891648928940055,8.808382573792558,6.08198346571532,8.077597285548372,7.137094054052455,9.146719810782011,6.854980168283024,8.452107885352824,6.288052027520587,2.966139107839092
税,5.910815781865684,6.267834867516337,7.357194413904822,6.513327242335572,5.704817764149221,5.96463862161386,7.034984861405945,7.189114783474135,6.655298089793925,6.994245425790387,5.847535327460664,6.130376419929143
约,6.809232310651597,7.730001537274994,7.907448695951071,9.151928124791102,6.677083660906905,8.285993265772031,7.506835147285983,9.06179967279153,7.5966252960637215,9.11397973888929,6.375155070029374,5.544843234159389
